code,name,continent,iso_country,iso_region,gps_code,iata_code,latitude,longitude
CN-0003,Laohutun Air Base,AS,CN,CN-21,,,121.7659988,39.66999817
CN-0004,Pulandian Air Base,AS,CN,CN-21,,,122.0179977,39.45090103
CN-0006,Beijing Shahezhen Air Base,AS,CN,CN-11,,,116.3213882,40.14916611
CN-0007,Beijing Tongxian Air Base,AS,CN,CN-11,,,116.7083359,39.81111145
CN-0010,Yinchuan Hedong International Airport,AS,CN,CN-64,ZLIC,INC,106.393214,38.322758
CN-0011,Duplicate --Yantai Penglai International Airport,AS,CN,CN-U-A,ZSYT,YNT,120.9872,37.65722
CN-0012,Yuanmou Air Base,AS,CN,CN-53,ZPYM,YUA,101.8820038,25.73749924
CN-0013,Fengning Air Base,AS,CN,CN-13,,,116.6179962,41.26079941
CN-0014,Hohhot Air Base,AS,CN,CN-15,,,111.2289963,40.73720169
CN-0015,Huairen Air Base,AS,CN,CN-14,,,113.1429977,39.71749878
CN-0016,Liangxiangzhen Air Base,AS,CN,CN-11,,,116.1259995,39.75780106
CN-0018,Tangguantun Air Base,AS,CN,CN-12,,,117.0680008,38.78110123
CN-0020,Wenshui Air Base,AS,CN,CN-14,,,111.9660034,37.40779877
CN-0021,Yangcun Air Base,AS,CN,CN-12,,,117.0950012,39.37329865
CN-0022,Yongning Air Base,AS,CN,CN-11,,,116.1080017,40.50310135
CN-0024,Zhangjiakou Ningyuan Airport,AS,CN,CN-13,ZBZJ,ZQZ,114.9300003,40.73860168
CN-0025,Zunhua Air Base,AS,CN,CN-13,,,117.887001,40.10250092
CN-0026,Chengdu Air Base,AS,CN,CN-51,,,103.9499969,30.70529938
CN-0027,Baoshan Yunduan Airport,AS,CN,CN-53,ZPBS,BSD,99.168297,25.053301
CN-0030,Chongqing Air Base,AS,CN,CN-50,,,106.3590012,29.49530029
CN-0040,Lintsang Airfield,AS,CN,CN-53,ZPLC,LNJ,100.0250015,23.73810005
CN-0041,Luliang Air Base,AS,CN,CN-53,,,103.6419983,24.98830032
CN-0043,Mengzi Air Base,AS,CN,CN-53,,,103.3339996,23.39529991
CN-0045,Qionglai Air Base,AS,CN,CN-51,,,103.4649963,30.48999977
CN-0046,Shigatse Air Base,AS,CN,CN-54,ZURK,RKZ,89.311401,29.3519
CN-0048,Wenshan Air Base,AS,CN,CN-53,,,103.8270035,23.71559906
CN-0049,Xiangyun Midu Air Base,AS,CN,CN-53,,,100.7350006,25.44529915
CN-0050,Bao'anying Airport,AS,CN,CN-51,ZUZH,PZI,101.79852,26.54
CN-0053,Baihe Ning Ming Air Base,AS,CN,CN-45,,,107.125,22.12059975
CN-0055,Changsha Datuopu Airport/AFB,AS,CN,CN-43,ZGCS,,112.9580002,28.06889915
CN-0056,Dangyang Air Base,AS,CN,CN-42,,,111.8099976,30.79859924
CN-0057,Foluo Northeast Air Base,AS,CN,CN-46,,,109.1610031,18.69219971
CN-0061,Foshan Shadi Airport,AS,CN,CN-44,ZGFS,FUO,113.0699997,23.08329964
CN-0063,Guiping Mengshu Air Base,AS,CN,CN-45,,,110.0090027,23.3307991
CN-0067,Xinyang Minggang Airport,AS,CN,CN-41,ZHXY,XAI,114.079141,32.540819
CN-0068,Huizhou Airport,AS,CN,CN-44,ZGHZ,HUZ,114.5999985,23.04999924
CN-0069,Jialaishi Air Base,AS,CN,CN-46,,,109.7259979,19.69720078
CN-0071,Leiyang Air Base,AS,CN,CN-43,,,112.8919983,26.58720016
CN-0072,Lingshui Air Base,AS,CN,CN-46,,,109.987999,18.49440002
CN-0074,Shangqiu Air Base,AS,CN,CN-41,,,115.459261,34.449507
CN-0076,Zhengzhou Air Base,AS,CN,CN-41,,,113.729631,34.86125
CN-0079,Shaoguan Guitou Airport,AS,CN,CN-44,,HSC,113.4209976,24.97859955
CN-0080,Suixi Air Base,AS,CN,CN-44,,,110.1999969,21.39579964
CN-0081,Jinggangshan Airport,AS,CN,CN-36,ZSJA,JGS,114.7369995,26.85689926
CN-0082,Baise Youjiang Airport,AS,CN,CN-45,ZGBS,AEB,106.9599991,23.72060013
CN-0083,Guodu air base,AS,CN,CN-U-A,,,117.63201,36.001741
CN-0085,Xiaogan Air Base,AS,CN,CN-42,,,113.9110031,30.95439911
CN-0089,Baitabu Air Base,AS,CN,CN-32,,,118.875,34.57139969
CN-0090,Cangxian Air Base,AS,CN,CN-13,,,116.9290009,38.40250015
CN-0091,Dongying Shengli Airport,AS,CN,CN-37,ZSDY,DOY,118.788002,37.50859833
CN-0092,Jiaozhou/Jiaocheng Air Base,AS,CN,CN-37,,,120.0240021,36.33060074
CN-0093,Jinan Air Base,AS,CN,CN-37,,,116.9209976,36.67919922
CN-0094,Jiugucheng Air Base,AS,CN,CN-13,,,116.1179962,37.49000168
CN-0095,Kaifeng Air Base,AS,CN,CN-41,,,114.3389969,34.75389862
CN-0096,Laiyang Air Base,AS,CN,CN-37,,,120.5910034,36.96360016
CN-0097,Luyang Air Base,AS,CN,CN-41,,,112.8909988,33.68470001
CN-0100,Qingdao-Cangkou Air Base,AS,CN,CN-37,,,120.3919983,36.15919876
CN-0103,Wendeng Air Base,AS,CN,CN-37,,,122.0230026,37.26470184
CN-0104,Xingcheng Air Base,AS,CN,CN-21,ZYXC,XEN,120.697998,40.58029938
CN-0105,Xuzhou Daguozhang Air Base,AS,CN,CN-32,,,117.5579987,34.05889893
CN-0106,Xuzhou Jiulishan Air Base,AS,CN,CN-32,,,117.2460022,34.23059845
CN-0109,Yidu Air Base,AS,CN,CN-37,,,118.5270004,36.59140015
CN-0111,Zhucheng Air Base,AS,CN,CN-37,,,119.439003,36.02750015
CN-0113,Altay Air Base,AS,CN,CN-65,ZWAT,AAT,88.0858078,47.74988556
CN-0114,Baoji Air Base,AS,CN,CN-61,,,107.4720001,34.53170013
CN-0117,Gonghe Air Base,AS,CN,CN-63,,,100.4800034,36.33670044
CN-0123,Lanzhou Air Base,AS,CN,CN-62,,,104.2180023,35.9178009
CN-0125,Ljtao Air Base,AS,CN,CN-62,,,103.8359985,35.30830002
CN-0127,Qingshui Air Base,AS,CN,CN-62,,,98.88420105,39.55469894
CN-0130,Tianshui Maijishan Airport,AS,CN,CN-62,ZLTS,THQ,105.8600006,34.55939865
CN-0132,Urumqi South Air Base,AS,CN,CN-65,,,87.53220367,43.46580124
CN-0133,Uxxaktal Air Base,AS,CN,CN-65,,,87.18810272,42.1814003
CN-0134,Wugong Air Base,AS,CN,CN-61,,,108.2659988,34.27420044
CN-0135,Wulumuqi Air Base,AS,CN,CN-65,,,87.07859802,43.95029831
CN-0136,Wuwei Air Base,AS,CN,CN-62,,,102.5670013,37.98830032
CN-0137,Xian Air Base,AS,CN,CN-61,,,108.598999,34.15390015
CN-0138,Xincheng Air Base,AS,CN,CN-36,,,114.6190033,25.54829979
CN-0139,Yaerbashi Test Range,AS,CN,CN-65,,,92.80809784,43.07720184
CN-0140,Yanliang Air Base,AS,CN,CN-61,,,109.2429962,34.64390182
CN-0143,Zhangye Ganzhou Airport,AS,CN,CN-62,ZLZY,YZY,100.6750031,38.80189896
CN-0145,Changzing Air Base,AS,CN,CN-33,,,119.7310028,30.96859932
CN-0146,Daishan Air Base,AS,CN,CN-33,,,122.1449966,30.28779984
CN-0147,Feidong Air Base,AS,CN,CN-34,,,117.6589966,31.90940094
CN-0149,Fuzhou Air Base,AS,CN,CN-35,,,119.3119965,26.00440025
CN-0152,Huian Air Base,AS,CN,CN-35,,,118.8069992,25.02610016
CN-0153,Jianqiao/Hangzhou Airfield,AS,CN,CN-33,,,120.2409973,30.33530045
CN-0154,Jiaxing Air Base,AS,CN,CN-33,,,120.6806107,30.70664024
CN-0158,Longtian/Lung-T'ien Air Base,AS,CN,CN-35,,,119.4599991,25.57279968
CN-0159,Longyou Air Base,AS,CN,CN-33,,,119.177002,29.11310005
CN-0161,Mahuiling Air Base,AS,CN,CN-36,,,115.802002,29.47719955
CN-0162,Nanchang New Airfield,AS,CN,CN-36,,,115.9300003,28.63559914
CN-0163,Nanchang Xiangtang Air Base,AS,CN,CN-36,,,115.9240036,28.42079926
CN-0165,Ningbo Zhangqiao Air Base,AS,CN,CN-33,,,121.5739975,29.92280006
CN-0169,Shanghai Dachang Air Base,AS,CN,CN-31,,,121.4110031,31.32360077
CN-0182,Zhangshu Air Base,AS,CN,CN-36,,,115.5510025,28.02169991
CN-0185,Changchun Air Base,AS,CN,CN-22,,,125.197998,43.90530014
CN-0187,Chifeng Air Base,AS,CN,CN-15,,,118.8420029,42.15890121
CN-0189,Dandong Airport,AS,CN,CN-21,ZYDD,DDG,124.286003,40.0247
CN-0190,Dingxin/Shuangchengzi Air Base,AS,CN,CN-62,,,99.78939819,40.40140152
CN-0191,Fuxin Air Base,AS,CN,CN-21,,,121.6620026,42.07889938
CN-0192,Gongzhuling Air Base,AS,CN,CN-22,,,124.7860031,43.52420044
CN-0193,Harbin Air Base,AS,CN,CN-23,,,126.6589966,45.59749985
CN-0197,Kaiyuan Air Base,AS,CN,CN-21,,,123.9820023,42.5257988
CN-0198,Lalin Air Base,AS,CN,CN-23,,,126.8949966,45.25939941
CN-0201,Pingquan Air Base,AS,CN,CN-13,,,118.6809998,40.9007988
CN-0204,Shenyang Beiling Air Base,AS,CN,CN-21,,,123.439003,41.87080002
CN-0206,Shenyang Yu Hung Tun Air Base,AS,CN,CN-21,,,123.2990036,41.82249832
CN-0208,Siping Air Base,AS,CN,CN-22,,,124.2919998,43.1568985
CN-0209,Suizhong Air Base,AS,CN,CN-21,,,120.3590012,40.2989006
CN-0210,Tuchengzi Air Base,AS,CN,CN-21,,,121.2389984,38.91220093
